Assembly Name	Assembly Accession	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Isolate	Organism Infraspecific Names Ecotype	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	Annotation Count Gene Total	Annotation Count Gene Protein-coding
ASM2136693v1	GCF_021366935.1	Staphylococcus haemolyticus		Ani-LG-040				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2543809	Contig	2022-01-05	2589	2438
ASM2136695v1	GCF_021366955.1	Staphylococcus haemolyticus		Ani-LG-047				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2458087	Contig	2022-01-05	2448	2301
ASM2136699v1	GCF_021366995.1	Staphylococcus haemolyticus		Ani-LG-036				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2428110	Contig	2022-01-05	2441	2291
ASM2136711v1	GCF_021367115.1	Staphylococcus haemolyticus		Ani-LG-021				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2526847	Contig	2022-01-05	2522	2399
ASM2136715v1	GCF_021367155.1	Staphylococcus haemolyticus		Ani-LG-019				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2495438	Contig	2022-01-05	2503	2360
ASM2136749v1	GCF_021367495.1	Staphylococcus haemolyticus		Ani-GT-046				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2495433	Contig	2022-01-05	2510	2357
ASM2136750v1	GCF_021367505.1	Staphylococcus haemolyticus		Ani-GT-050				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2456533	Contig	2022-01-05	2453	2320
ASM2136772v1	GCF_021367725.1	Staphylococcus haemolyticus		Ani-GT-003				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2449567	Contig	2022-01-05	2449	2311
ASM2144210v1	GCF_021442105.1	Staphylococcus haemolyticus		BC5211				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2580024	Complete Genome	2022-01-12	2494	2341
ASM2172889v1	GCF_021728895.1	Staphylococcus haemolyticus		3SP				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2413466	Contig	2022-01-30	2427	2306
ASM2248486v1	GCF_022484865.1	Staphylococcus haemolyticus		51P6ENG_1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2341885	Scaffold	2022-03-05	2326	2200
ASM2248488v1	GCF_022484885.1	Staphylococcus haemolyticus		092P2FS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2428232	Scaffold	2022-03-05	2396	2294
ASM2248490v1	GCF_022484905.1	Staphylococcus haemolyticus		H10FS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2355821	Scaffold	2022-03-05	2345	2215
ASM2248492v1	GCF_022484925.1	Staphylococcus haemolyticus		114P2NS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2445330	Scaffold	2022-03-05	2439	2338
ASM2248494v1	GCF_022484945.1	Staphylococcus haemolyticus		78P1FS2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2510581	Scaffold	2022-03-05	2481	2379
ASM2248496v1	GCF_022484965.1	Staphylococcus haemolyticus		051P2SUA1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2572297	Scaffold	2022-03-05	2601	2481
ASM2248498v1	GCF_022484985.1	Staphylococcus haemolyticus		114P1NS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2450218	Scaffold	2022-03-05	2441	2344
ASM2248500v1	GCF_022485005.1	Staphylococcus haemolyticus		114P2SUD1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2387113	Scaffold	2022-03-05	2400	2276
ASM2248501v1	GCF_022485015.1	Staphylococcus haemolyticus		110P1FS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2449947	Scaffold	2022-03-05	2435	2329
ASM2248504v1	GCF_022485045.1	Staphylococcus haemolyticus		051P3BA2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2569136	Scaffold	2022-03-05	2599	2489
ASM2248506v1	GCF_022485065.1	Staphylococcus haemolyticus		104P1FS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2392547	Scaffold	2022-03-05	2343	2248
ASM2248508v1	GCF_022485085.1	Staphylococcus haemolyticus		109P1NS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2433694	Scaffold	2022-03-05	2408	2303
ASM2248509v1	GCF_022485095.1	Staphylococcus haemolyticus		051P1ENP_1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2409183	Scaffold	2022-03-05	2414	2279
ASM2248512v1	GCF_022485125.1	Staphylococcus haemolyticus		C91NS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2495391	Scaffold	2022-03-05	2491	2387
ASM2248514v1	GCF_022485145.1	Staphylococcus haemolyticus		C37FS2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2438489	Scaffold	2022-03-05	2397	2295
ASM2248516v1	GCF_022485165.1	Staphylococcus haemolyticus		109P1TS2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2349524	Scaffold	2022-03-05	2322	2205
ASM2248518v1	GCF_022485185.1	Staphylococcus haemolyticus		109P1BA2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2357442	Scaffold	2022-03-05	2316	2222
ASM2248520v1	GCF_022485205.1	Staphylococcus haemolyticus		109P1FS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2349869	Scaffold	2022-03-05	2319	2217
ASM2248521v1	GCF_022485215.1	Staphylococcus haemolyticus		C36FS2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2441447	Scaffold	2022-03-05	2428	2317
ASM2248524v1	GCF_022485245.1	Staphylococcus haemolyticus		C74FS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2494228	Scaffold	2022-03-05	2476	2363
ASM2248526v1	GCF_022485265.1	Staphylococcus haemolyticus		68P1NS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2451765	Scaffold	2022-03-05	2439	2342
ASM2248528v1	GCF_022485285.1	Staphylococcus haemolyticus		85P1FS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2340269	Scaffold	2022-03-05	2318	2203
ASM2248530v1	GCF_022485305.1	Staphylococcus haemolyticus		C79NS2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2476033	Scaffold	2022-03-05	2465	2359
ASM2248532v1	GCF_022485325.1	Staphylococcus haemolyticus		C58FS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2419737	Scaffold	2022-03-05	2387	2289
ASM2248536v1	GCF_022485365.1	Staphylococcus haemolyticus		82P1NS2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2474680	Scaffold	2022-03-05	2460	2344
ASM2248538v1	GCF_022485385.1	Staphylococcus haemolyticus		047P1NS1-2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2436210	Scaffold	2022-03-05	2407	2309
ASM2248539v1	GCF_022485395.1	Staphylococcus haemolyticus		018P1FS2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2404325	Scaffold	2022-03-05	2383	2288
ASM2248542v1	GCF_022485425.1	Staphylococcus haemolyticus		H8FS2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2431080	Scaffold	2022-03-05	2416	2303
ASM2248544v1	GCF_022485445.1	Staphylococcus haemolyticus		H14FS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2379243	Scaffold	2022-03-05	2346	2247
ASM2248546v1	GCF_022485465.1	Staphylococcus haemolyticus		C89FS3				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2498942	Scaffold	2022-03-05	2481	2357
ASM2248547v1	GCF_022485475.1	Staphylococcus haemolyticus		C50FS2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2476127	Scaffold	2022-03-05	2447	2341
ASM2248548v1	GCF_022485485.1	Staphylococcus haemolyticus		051P5ENP_1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2276175	Scaffold	2022-03-05	2255	2160
ASM2248552v1	GCF_022485525.1	Staphylococcus haemolyticus		81P1FS6				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2489573	Scaffold	2022-03-05	2501	2375
ASM2248553v1	GCF_022485535.1	Staphylococcus haemolyticus		114P3FS3				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2450957	Scaffold	2022-03-05	2436	2335
ASM2248556v1	GCF_022485565.1	Staphylococcus haemolyticus		090P1FS2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2510642	Scaffold	2022-03-05	2539	2427
ASM2248558v1	GCF_022485585.1	Staphylococcus haemolyticus		047P1FS3-2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2436032	Scaffold	2022-03-05	2409	2310
ASM2248560v1	GCF_022485605.1	Staphylococcus haemolyticus		H17FS2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2363915	Scaffold	2022-03-05	2333	2236
ASM2248562v1	GCF_022485625.1	Staphylococcus haemolyticus		H15FS2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2433067	Scaffold	2022-03-05	2410	2292
ASM2248564v1	GCF_022485645.1	Staphylococcus haemolyticus		092P2NS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2530326	Scaffold	2022-03-05	2525	2409
ASM2248566v1	GCF_022485665.1	Staphylococcus haemolyticus		83P1NS2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2473307	Scaffold	2022-03-05	2446	2337
ASM2248568v1	GCF_022485685.1	Staphylococcus haemolyticus		C84FS2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2421236	Scaffold	2022-03-05	2418	2309
ASM2248570v1	GCF_022485705.1	Staphylococcus haemolyticus		114P3NS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2441954	Scaffold	2022-03-05	2430	2332
ASM2248572v1	GCF_022485725.1	Staphylococcus haemolyticus		051P4ENG_1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2477201	Scaffold	2022-03-05	2497	2361
ASM2248574v1	GCF_022485745.1	Staphylococcus haemolyticus		036P2BA5				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2472372	Scaffold	2022-03-05	2441	2336
ASM2248576v1	GCF_022485765.1	Staphylococcus haemolyticus		009P2FS3BHI				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2516785	Scaffold	2022-03-05	2554	2443
ASM2248577v1	GCF_022485775.1	Staphylococcus haemolyticus		C62FS2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2454528	Scaffold	2022-03-05	2452	2354
ASM2248582v1	GCF_022485825.1	Staphylococcus haemolyticus		C61NS2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2419336	Scaffold	2022-03-05	2393	2298
ASM2248586v1	GCF_022485865.1	Staphylococcus haemolyticus		032P2BA1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2476009	Scaffold	2022-03-05	2456	2352
ASM2248587v1	GCF_022485875.1	Staphylococcus haemolyticus		C58NS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2536254	Scaffold	2022-03-05	2516	2404
ASM2248588v1	GCF_022485885.1	Staphylococcus haemolyticus		032P2BA3				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2475803	Scaffold	2022-03-05	2456	2352
ASM2248592v1	GCF_022485925.1	Staphylococcus haemolyticus		114P3ENP_3				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2435203	Scaffold	2022-03-05	2400	2298
ASM2248594v1	GCF_022485945.1	Staphylococcus haemolyticus		032P2BA2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2474748	Scaffold	2022-03-05	2452	2350
ASM2248596v1	GCF_022485965.1	Staphylococcus haemolyticus		030P3NS2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2477165	Scaffold	2022-03-05	2465	2365
ASM2248598v1	GCF_022485985.1	Staphylococcus haemolyticus		C100NS3				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2466242	Scaffold	2022-03-05	2473	2368
ASM2248599v1	GCF_022485995.1	Staphylococcus haemolyticus		009P3ENP2BHI				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2485263	Scaffold	2022-03-05	2470	2366
ASM2248602v1	GCF_022486025.1	Staphylococcus haemolyticus		C65FS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2530324	Scaffold	2022-03-05	2542	2425
ASM2248603v1	GCF_022486035.1	Staphylococcus haemolyticus		055P1NS2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2499985	Scaffold	2022-03-05	2489	2372
ASM2248606v1	GCF_022486065.1	Staphylococcus haemolyticus		C48FS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2464868	Scaffold	2022-03-05	2481	2353
ASM2248608v1	GCF_022486085.1	Staphylococcus haemolyticus		C93FS2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2447386	Scaffold	2022-03-05	2402	2309
ASM2248610v1	GCF_022486105.1	Staphylococcus haemolyticus		H7NS2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2489932	Scaffold	2022-03-05	2490	2379
ASM2248612v1	GCF_022486125.1	Staphylococcus haemolyticus		C86FS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2461968	Scaffold	2022-03-05	2479	2361
ASM2248614v1	GCF_022486145.1	Staphylococcus haemolyticus		C59NS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2464676	Scaffold	2022-03-05	2423	2314
ASM2248616v1	GCF_022486165.1	Staphylococcus haemolyticus		030P4FS5				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2443150	Scaffold	2022-03-05	2435	2335
ASM2248618v1	GCF_022486185.1	Staphylococcus haemolyticus		C108FS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2401662	Scaffold	2022-03-05	2404	2269
ASM2248620v1	GCF_022486205.1	Staphylococcus haemolyticus		37P8FS2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2512399	Scaffold	2022-03-05	2504	2397
ASM2248622v1	GCF_022486225.1	Staphylococcus haemolyticus		C57FS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2459655	Scaffold	2022-03-05	2419	2317
ASM2248624v1	GCF_022486245.1	Staphylococcus haemolyticus		C38NS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2506624	Scaffold	2022-03-05	2456	2341
ASM2248626v1	GCF_022486265.1	Staphylococcus haemolyticus		C53FS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2394400	Scaffold	2022-03-05	2356	2250
ASM2248628v1	GCF_022486285.1	Staphylococcus haemolyticus		106P2NS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2492060	Scaffold	2022-03-05	2458	2358
ASM2248630v1	GCF_022486305.1	Staphylococcus haemolyticus		C81TS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2576640	Scaffold	2022-03-05	2512	2428
ASM2248632v1	GCF_022486325.1	Staphylococcus haemolyticus		106P1NS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2491113	Scaffold	2022-03-05	2450	2347
ASM2248634v1	GCF_022486345.1	Staphylococcus haemolyticus		029P2FS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2464660	Scaffold	2022-03-05	2429	2317
ASM2248636v1	GCF_022486365.1	Staphylococcus haemolyticus		103P3NS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2559563	Scaffold	2022-03-05	2567	2449
ASM2248638v1	GCF_022486385.1	Staphylococcus haemolyticus		021P2SUB1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2430958	Scaffold	2022-03-05	2429	2275
ASM2248640v1	GCF_022486405.1	Staphylococcus haemolyticus		37P8SUD1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2524658	Scaffold	2022-03-05	2504	2413
ASM2248641v1	GCF_022486415.1	Staphylococcus haemolyticus		37P7NS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2424603	Scaffold	2022-03-05	2408	2296
ASM2248654v1	GCF_022486545.1	Staphylococcus haemolyticus		038P2NS2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2456476	Scaffold	2022-03-05	2445	2333
ASM2248752v1	GCF_022487525.1	Staphylococcus haemolyticus		049P1FS2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2529570	Scaffold	2022-03-05	2495	2389
ASM2248754v1	GCF_022487545.1	Staphylococcus haemolyticus		038P2FS3				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2404548	Scaffold	2022-03-05	2398	2292
ASM2248755v1	GCF_022487555.1	Staphylococcus haemolyticus		037P9NS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2487844	Scaffold	2022-03-05	2450	2334
ASM2248758v1	GCF_022487585.1	Staphylococcus haemolyticus		037P9SUA1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2500047	Scaffold	2022-03-05	2472	2350
ASM2248762v1	GCF_022487625.1	Staphylococcus haemolyticus		106P3NS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2457579	Scaffold	2022-03-05	2424	2324
ASM2248763v1	GCF_022487635.1	Staphylococcus haemolyticus		030P4FS4				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2443330	Scaffold	2022-03-05	2434	2325
ASM2248766v1	GCF_022487665.1	Staphylococcus haemolyticus		014P2FS002				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2554237	Scaffold	2022-03-05	2554	2413
ASM2248768v1	GCF_022487685.1	Staphylococcus haemolyticus		008P6FS1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2478886	Scaffold	2022-03-05	2460	2355
ASM2248770v1	GCF_022487705.1	Staphylococcus haemolyticus		008P5SUE2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2445437	Scaffold	2022-03-05	2438	2303
ASM2248772v1	GCF_022487725.1	Staphylococcus haemolyticus		007P2ENG3BHI				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2378928	Scaffold	2022-03-05	2378	2236
ASM2248774v1	GCF_022487745.1	Staphylococcus haemolyticus		008P5SUA1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2476931	Scaffold	2022-03-05	2487	2385
ASM2248776v1	GCF_022487765.1	Staphylococcus haemolyticus		007PHP1FS1BHI				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2455284	Scaffold	2022-03-05	2398	2290
ASM2248778v1	GCF_022487785.1	Staphylococcus haemolyticus		008P4SUE001				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2456999	Scaffold	2022-03-05	2423	2331
ASM2248780v1	GCF_022487805.1	Staphylococcus haemolyticus		007P3SUC2BHI				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2536699	Scaffold	2022-03-05	2540	2436
ASM2248781v1	GCF_022487815.1	Staphylococcus haemolyticus		37P7SUA1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2417301	Scaffold	2022-03-05	2383	2261
ASM2248784v1	GCF_022487845.1	Staphylococcus haemolyticus		008P4FS002				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2470405	Scaffold	2022-03-05	2438	2345
ASM2248786v1	GCF_022487865.1	Staphylococcus haemolyticus		008P4FS003				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2478356	Scaffold	2022-03-05	2468	2351
ASM2248788v1	GCF_022487885.1	Staphylococcus haemolyticus		038P1SUD1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2449056	Scaffold	2022-03-05	2436	2329
ASM2248789v1	GCF_022487895.1	Staphylococcus haemolyticus		031P2FS2				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2475063	Scaffold	2022-03-05	2479	2368
ASM2248792v1	GCF_022487925.1	Staphylococcus haemolyticus		008P6SUE1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2411957	Scaffold	2022-03-05	2385	2291
ASM2269036v1	GCF_022690365.1	Staphylococcus haemolyticus		acrot				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2440759	Contig	2022-03-23	2405	2291
ASM2269044v1	GCF_022690445.1	Staphylococcus haemolyticus		acroh				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2407753	Contig	2022-03-23	2413	2288
ASM2269046v1	GCF_022690465.1	Staphylococcus haemolyticus		acrop				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2438861	Contig	2022-03-23	2408	2290
ASM2269048v1	GCF_022690485.1	Staphylococcus haemolyticus		acroa				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2337166	Contig	2022-03-23	2366	2245
ASM2269049v1	GCF_022690495.1	Staphylococcus haemolyticus		acroo				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2444167	Contig	2022-03-23	2416	2292
ASM2269052v1	GCF_022690525.1	Staphylococcus haemolyticus		acrob				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2368537	Contig	2022-03-23	2370	2237
ASM2269054v1	GCF_022690545.1	Staphylococcus haemolyticus		acrnz				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2355844	Contig	2022-03-23	2364	2226
ASM2269590v1	GCF_022695905.1	Staphylococcus haemolyticus		1864				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2591539	Contig	2022-03-25	2549	2393
ASM2269592v1	GCF_022695925.1	Staphylococcus haemolyticus		48				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2611179	Contig	2022-03-25	2553	2397
ASM2280993v1	GCF_022809935.1	Staphylococcus haemolyticus		PK-01				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2437425	Contig	2022-04-03	2468	2350
ASM2281150v1	GCF_022811505.1	Staphylococcus haemolyticus		MSA_JNM56C1				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2555440	Chromosome	2022-04-04	2492	2308
ASM2314739v1	GCF_023147395.1	Staphylococcus haemolyticus		EYE_501				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2541356	Scaffold	2022-04-27	2574	2398
ASM2314765v1	GCF_023147655.1	Staphylococcus haemolyticus		EYE_136				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2538541	Scaffold	2022-04-27	2573	2399
ASM2314846v1	GCF_023148465.1	Staphylococcus haemolyticus		EYE_115				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2540219	Scaffold	2022-04-27	2570	2395
ASM2319834v1	GCF_023198345.1	Staphylococcus haemolyticus		568_S46				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2402782	Contig	2022-05-01	2471	2289
haemolyticus	GCF_900240195.1	Staphylococcus haemolyticus				Staphylococcus haemolyticus K8		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2426012	Chromosome	2018-04-04	2450	2315
36734_F01	GCF_900458595.1	Staphylococcus haemolyticus		NCTC11042				NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2569468	Contig	2018-08-01	2499	2325
57-01	GCF_903969685.1	Staphylococcus haemolyticus		SH_01		2 A-1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2483428	Contig	2020-07-18	2538	2351
57-08	GCF_903969695.1	Staphylococcus haemolyticus		SH_03		5 E-2		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2509690	Contig	2020-07-18	2570	2389
57-22	GCF_903969705.1	Staphylococcus haemolyticus		SH_11		23 E-1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2479287	Contig	2020-07-18	2515	2297
57-23	GCF_903969715.1	Staphylococcus haemolyticus		SH_12		30 C-3		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2611660	Contig	2020-07-18	2655	2455
57-19	GCF_903969725.1	Staphylococcus haemolyticus		SH_09		16 C-3		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2513933	Contig	2020-07-18	2567	2371
57-12	GCF_903969735.1	Staphylococcus haemolyticus		SH_05		7 C-1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2634313	Contig	2020-07-18	2780	2511
57-15	GCF_903969745.1	Staphylococcus haemolyticus		SH_07		14 D-1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2538386	Contig	2020-07-18	2660	2401
57-20	GCF_903969755.1	Staphylococcus haemolyticus		SH_10		20 E-2		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2563378	Contig	2020-07-18	2630	2397
57-26	GCF_903969765.1	Staphylococcus haemolyticus		SH_13		33 F-2		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2412626	Contig	2020-07-18	2433	2226
57-05	GCF_903969775.1	Staphylococcus haemolyticus		SH_02		3 C-3		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2507215	Contig	2020-07-18	2538	2359
57-10	GCF_903969785.1	Staphylococcus haemolyticus		SH_04		6 C-1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2470162	Contig	2020-07-18	2515	2313
57-39	GCF_903969795.1	Staphylococcus haemolyticus		SH_20		65 C-3		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2521883	Contig	2020-07-18	2549	2376
57-34	GCF_903969805.1	Staphylococcus haemolyticus		SH_18		62 D-1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2471279	Contig	2020-07-18	2497	2312
57-55	GCF_903969815.1	Staphylococcus haemolyticus		SH_26		88 D-4		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2478552	Contig	2020-07-18	2529	2317
57-32	GCF_903969825.1	Staphylococcus haemolyticus		SH_16		51 D-2		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2598845	Contig	2020-07-18	2669	2461
57-41	GCF_903969835.1	Staphylococcus haemolyticus		SH_21		67 C-1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2610467	Contig	2020-07-18	2683	2478
57-35	GCF_903969845.1	Staphylococcus haemolyticus		SH_19		64 C-4		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2641716	Contig	2020-07-18	2740	2505
57-27	GCF_903969855.1	Staphylococcus haemolyticus		SH_14		44 C-2		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2491574	Contig	2020-07-18	2531	2358
57-54	GCF_903969865.1	Staphylococcus haemolyticus		SH_25		77 C-3		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2447052	Contig	2020-07-18	2523	2331
57-33	GCF_903969875.1	Staphylococcus haemolyticus		SH_17		57 D-6		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2602789	Contig	2020-07-18	2724	2512
57-31	GCF_903969885.1	Staphylococcus haemolyticus		SH_15		50 D-1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2521119	Contig	2020-07-18	2567	2398
57-47	GCF_903969895.1	Staphylococcus haemolyticus		SH_23		74 C-3		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2515048	Contig	2020-07-18	2541	2361
57-61	GCF_903969905.1	Staphylococcus haemolyticus		SH_29		95 C-4		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2670609	Contig	2020-07-18	2901	2607
57-60	GCF_903969915.1	Staphylococcus haemolyticus		SH_28		93 D-6		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2413511	Contig	2020-07-18	2464	2278
57-57	GCF_903969945.1	Staphylococcus haemolyticus		SH_27		92 C-1		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2452496	Contig	2020-07-18	2550	2357
58-02	GCF_903969955.1	Staphylococcus haemolyticus		SH_33		101 F-6		NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	2533202	Contig	2020-07-18	2637	2353
